Id,Label,Latest_Party,Total_Bills,Government_Bills,Private_Bills
Tariq Christopher Qaiser,Tariq Christopher Qaiser,PML-N,2,0,2
Hamid Ul Haq,Hamid Ul Haq,PTI,2,0,2
Ibadullah,Ibadullah,PML-N,2,0,2
Gul Zafar Khan,Gul Zafar Khan,PTI,2,0,2
Gul Dad Khan,Gul Dad Khan,PTI,2,0,2
Raja Osama Sarwar,Raja Osama Sarwar,PML-N,2,0,2
Ch. Muhammad Hamid Hameed,Ch. Muhammad Hamid Hameed,PML-N,2,0,2
Nelson Azeem,Nelson Azeem,PML-N,2,0,2
Ahad Khan Cheema,Ahad Khan Cheema,PMLN,2,2,0
Ch. Asad Ur Rehman,Ch. Asad Ur Rehman,PML-N,2,0,2
Malik Abdul Ghaffar Dogar,Malik Abdul Ghaffar Dogar,PML-N,2,0,2
Bilal Rehman,Bilal Rehman,IND,2,0,2
Abdul Kareem,Abdul Kareem,PML-N,2,0,2
Syeda Nosheen Iftikhar,Syeda Nosheen Iftikhar,PML-N,2,0,2
Reeta Ishwar,Reeta Ishwar,PML-F,2,0,2
Pir Syed Saddaruddin Shah Rashdi,Pir Syed Saddaruddin Shah Rashdi,PML-F,2,2,0
Syed Amin-ul-Haque,Syed Amin-ul-Haque,MQM,2,0,2
Qamar Ud Din,Qamar Ud Din,JUI,2,0,2
Ms Shagufta Jumani,Ms Shagufta Jumani,PPPP,2,0,2
Syed Ghulam Mustafa Shah,Syed Ghulam Mustafa Shah,PPPP,2,0,2
Mir Ghulam Ali Talpur,Mir Ghulam Ali Talpur,PPPP,2,0,2
Khurshed Ahmed Junejo,Khurshed Ahmed Junejo,PPPP,2,0,2
Mahreen Razzaq Bhutto,Mahreen Razzaq Bhutto,PPPP,2,0,2
Shahzada Muhammad Gushtasap Khan,Shahzada Muhammad Gushtasap Khan,SIC,2,0,2
Asad Qaiser,Asad Qaiser,SIC,2,0,2
Muhammad Sajjad,Muhammad Sajjad,PML-N,2,0,2
Changaze Ahmed Khan,Changaze Ahmed Khan,SIC,2,0,2
Aliya Kamran,Aliya Kamran,JUIP,2,0,2
Sana Ullah Khan Mastikhel,Sana Ullah Khan Mastikhel,SIC,2,0,2
Munir Khan Orakzai,Munir Khan Orakzai,MMA,2,0,2
Mahesh Kumar Malani,Mahesh Kumar Malani,PPPP,2,0,2
Sajid Khan,Sajid Khan,PTI,2,0,2
Bismillah Khan,Bismillah Khan,IND,2,0,2
Ehsanullah Reki,Ehsanullah Reki,BAP,2,1,1
Ihsan ul Haq Bajwa,Ihsan ul Haq Bajwa,PML-N,2,0,2
Tahira Asif,Tahira Asif,MQM,2,0,2
Nawabzada Shah Zain Bugti,Nawabzada Shah Zain Bugti,JWP,2,2,0
Chaudhry Riaz-ul-Haq,Chaudhry Riaz-ul-Haq,PML-N,2,0,2
Syed Ali Musa Gilani,Syed Ali Musa Gilani,PPPP,2,0,2
Mrs. Musarat Rafique Mahesar,Mrs. Musarat Rafique Mahesar,PPPP,2,0,2
Syed Ayaz Ali Shah Sheerazi,Syed Ayaz Ali Shah Sheerazi,PML-N,2,0,2
Salman Hanif,Salman Hanif,PML-N,1,0,1
Iffat Liaqat,Iffat Liaqat,PML-N,1,0,1
Nuzhat Sadiq,Nuzhat Sadiq,PML-N,1,0,1
Malik Shakir Bashir Awan,Malik Shakir Bashir Awan,PML-N,1,0,1
Abdul Majeed Khan Khanan Khel,Abdul Majeed Khan Khanan Khel,PML-N,1,0,1
Rana Afzaal Hussain,Rana Afzaal Hussain,PML-N,1,0,1
Shahid Ahmad,Shahid Ahmad,PTI,1,0,1
Farooq Hamid Naek,Farooq Hamid Naek,PPPP,1,0,1
Musarrat Rafique Mahesar,Musarrat Rafique Mahesar,PPPP,1,0,1
Muhammad Hanif Abbasi,Muhammad Hanif Abbasi,PML-N,1,0,1
Amra Khan,Amra Khan,PML-N,1,0,1
Aftab Ahmad Khan Sherpao,Aftab Ahmad Khan Sherpao,QWP,1,0,1
Samina Khalid Ghurki,Samina Khalid Ghurki,PPPP,1,0,1
Ihsan Ur Rahman Mazari,Ihsan Ur Rahman Mazari,PPPP,1,1,0
Ahmed Raza Maneka,Ahmed Raza Maneka,PML-N,1,1,0
Ali Pervaiz,Ali Pervaiz,PML-N,1,1,0
Engineer Mohammad Usman Badaini,Engineer Mohammad Usman Badaini,IND,1,0,1
Mir Aijaz Hussain Jakhrani,Mir Aijaz Hussain Jakhrani,PPPP,1,0,1
Muhammad Ayub,Muhammad Ayub,PTI,1,1,0
Muhammad Abubakar,Muhammad Abubakar,MQMP,1,0,1
Kamal Uddin,Kamal Uddin,MMA,1,0,1
Chaudhry Salik Hussain,Chaudhry Salik Hussain,PML,1,1,0
Naz Baloch,Naz Baloch,PPPP,1,0,1
Dr. Amjad Ali Khan,Dr. Amjad Ali Khan,SIC,1,0,1
Muhammad Javed Hanif Khan,Muhammad Javed Hanif Khan,MQM,1,0,1
Syed Mustafa Kamal,Syed Mustafa Kamal,MQM,1,0,1
Syed Hafeezuddin,Syed Hafeezuddin,MQM,1,0,1
Shafqat Abbas,Shafqat Abbas,SIC,1,0,1
Sajid Nawaz,Sajid Nawaz,PTI,1,0,1
Sherry Rehman,Sherry Rehman,PPPP,1,1,0
Sardar Riaz Mehmood Khan Mazari,Sardar Riaz Mehmood Khan Mazari,PTI,1,0,1
Dr. Muhammad Azhar Khan Jadoon,Dr. Muhammad Azhar Khan Jadoon,PTI,1,0,1
Ali Amin Khan,Ali Amin Khan,PTI,1,1,0
Zahoor Hussain Qureshi,Zahoor Hussain Qureshi,PTI,1,0,1
Sardar Nasrullah Khan Drishak,Sardar Nasrullah Khan Drishak,PTI,1,0,1
Abdul Rehman Khan Kanju,Abdul Rehman Khan Kanju,PML-N,1,0,1
Khalil George,Khalil George,PML-N,1,0,1
Muhammad Ijaz Ahmed Ch.,Muhammad Ijaz Ahmed Ch.,PML-N,1,0,1
Makhdoom Syed Ali Hassan Gillani,Makhdoom Syed Ali Hassan Gillani,PML-N,1,0,1
Dr. Nisar Ahmad,Dr. Nisar Ahmad,PML-N,1,0,1
Sardar Kamal Khan Bangulzai,Sardar Kamal Khan Bangulzai,NP,1,0,1
Nasiba Channa,Nasiba Channa,PPPP,1,0,1
Dawar Khan Kundi,Dawar Khan Kundi,PTI,1,0,1
Khwaja Ghulam Rasool Koreja,Khwaja Ghulam Rasool Koreja,PPPP,1,0,1
Asghar Ali Shah,Asghar Ali Shah,PPPP,1,0,1
Syed Abrar Ali Shah,Syed Abrar Ali Shah,PPPP,1,0,1
