"Legislator","Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Total_Bills"
"Zahid Akram Durani","MMA",14,0.000953149581698774,0.212878787878788,5.9771539892851e-06,0.00168927321308819,4
"Shunila Ruth","PTI",21,0.000648342261282138,0.242869490060501,2.6527593031688e-05,0.0016658445563765,4
"Noor Ul Hassan Tanvir","PML-N",2,0,NA,0,0.00294117647059922,4
"Muhammad Gohar Shah","JUI",20,0.00104980014638113,0.21749226006192,2.42757946211525e-06,0.00200694041667649,4
"Murad Saeed","PTI",7,0.000381363450214736,0.208302446256486,1.58005911292649e-06,0.000731860921141748,4
"Zille Huma","PTI",28,0.00471392077624847,0.238337574215437,5.4148535854654e-05,0.00213379756481195,4
"Qaisar Jamal","PTI",15,0.000698325963081928,0.186092715231788,2.1399577414741e-05,0.0023759456966164,4
"Mujahid Ali","PTI",23,0.00696756524011532,0.22753036437247,1.47897223007702e-05,0.00223729779986135,4
"Imran Zafar Leghari","PPPP",21,0.0120351187750744,0.210172026925954,2.23888023112243e-06,0.00222097332827066,4
"Khawaja Sohail Mansoor","MQM",22,0.0277468395931599,0.204810495626822,1.27208518676798e-06,0.00110401429456411,4
"Sardar Akhter Jan Mengal","BNP-M",4,0,0.102892713291834,3.04938070567183e-05,0.00123931790910747,4
"Nafisa Shah","PPPP",2,0,NA,0,0.00294117647059922,4
"Dr. Darshan","PML-N",15,0.0050633103783384,0.224261771747805,7.22841916919741e-08,0.00235329898032914,4
"Shah Jee Gul Afridi","IND",19,0.00227197744490614,0.201289398280802,7.26268146273387e-07,0.0022452435151751,4
"Muhammad Akram","PTI",9,0,0.074476543864299,0.00011579675217875,0.00175128535554943,4
"Phyllis Azeem","PML-N",30,0.00567953238053207,0.228827361563518,2.83913957153079e-06,0.00274738848782159,4
"Kesoo Mal Kheal Das","PML-N",5,0,0.157776530039304,1.15444872298649e-10,0.00199985921584302,4
"Shehryar Afridi","PTI",11,0,0.111507936507937,5.7624258176512e-07,0.00199037140055787,4
"Syed Sajid Mehdi","PML-N",18,0.00032730962610478,0.226430298146656,0.00158103721287946,0.0017929186856482,4
"Raja Riaz Ahmad","PTI",9,0,0.074476543864299,0.000115796752178756,0.00175128535554892,4
"Ghulam Muhammad Lali","PTI",1,0,0.5,0,0.00294117647058649,4
